COURBE ## PERFECT ## CALCUL
105.04285 ## 0.85615534 ## 0.5
105.23308 ## 0.8542251 ## 0.5000762
105.574615 ## 0.834449 ## 0.50030476
105.92922 ## 0.7974149 ## 0.50068617
106.531685 ## 0.7509733 ## 0.50122094
107.28001 ## 0.6850739 ## 0.5019099
108.17116 ## 0.60666233 ## 0.50275415
109.201645 ## 0.51850295 ## 0.5037549
110.36757 ## 0.43442667 ## 0.5049138
111.66467 ## 0.3372301 ## 0.50623256
113.08846 ## 0.24153036 ## 0.5077133
114.6342 ## 0.15251468 ## 0.50935835
116.73046 ## 0.070757605 ## 0.51117027
118.5327 ## 0.016913965 ## 0.51315206
120.93387 ## 0.009162273 ## 0.51530683
123.49089 ## 0.008852987 ## 0.5176381
126.1943 ## 0.08619866 ## 0.5201497
129.61867 ## 0.23776713 ## 0.52284586
133.22537 ## 0.48037088 ## 0.5257311
137.0 ## 0.8769371 ## 0.5288103
140.92906 ## 1.4319404 ## 0.5320889
145.69145 ## 2.1763542 ## 0.53557247
148.49243 ## 3.1459002 ## 0.53926736
145.69145 ## 3.7940426 ## 0.54318017
140.92906 ## 3.2422202 ## 0.54731816
137.0 ## 2.15069 ## 0.55168897
133.22537 ## 1.4299357 ## 0.556301
129.61867 ## 0.8898528 ## 0.5611631
126.1943 ## 0.50171864 ## 0.566285
123.49089 ## 0.2402765 ## 0.571677
120.93387 ## 0.0918959 ## 0.57735026
118.5327 ## 0.015631692 ## 0.5833167
116.73046 ## 0.0026305453 ## 0.5895892
114.6342 ## 0.024501316 ## 0.59618163
113.08846 ## 0.07666503 ## 0.603109
111.66467 ## 0.14881757 ## 0.61038727
110.36757 ## 0.24697551 ## 0.618034
109.201645 ## 0.34085122 ## 0.6260678
108.17116 ## 0.43655774 ## 0.6345091
107.28001 ## 0.52963334 ## 0.6433798
106.531685 ## 0.6044394 ## 0.65270364
105.92922 ## 0.68264574 ## 0.6625065
105.574615 ## 0.7486843 ## 0.67281634
105.23308 ## 0.8003114 ## 0.6836637
105.04285 ## 0.8308778 ## 0.6950818
105.04285 ## 0.85145706 ## 0.70710677
105.23308 ## 0.8542251 ## 0.6950818
105.574615 ## 0.834449 ## 0.6836637
105.92922 ## 0.7974149 ## 0.67281634
106.531685 ## 0.7509733 ## 0.6625065
107.28001 ## 0.6850739 ## 0.65270364
108.17116 ## 0.60666233 ## 0.6433798
109.201645 ## 0.51850295 ## 0.6345091
110.36757 ## 0.43442667 ## 0.6260678
111.66467 ## 0.3372301 ## 0.618034
113.08846 ## 0.24153036 ## 0.61038727
114.6342 ## 0.15251468 ## 0.603109
116.73046 ## 0.070757605 ## 0.59618163
118.5327 ## 0.016913965 ## 0.5895892
120.93387 ## 0.009162273 ## 0.5833167
123.49089 ## 0.008852987 ## 0.57735026
126.1943 ## 0.08619866 ## 0.571677
129.61867 ## 0.23776713 ## 0.566285
133.22537 ## 0.48037088 ## 0.5611631
137.0 ## 0.8769371 ## 0.556301
140.92906 ## 1.4319404 ## 0.55168897
145.69145 ## 2.1763542 ## 0.54731816
147.787 ## 3.1459002 ## 0.54318017
144.27751 ## 3.7940426 ## 0.53926736
139.51703 ## 3.321387 ## 0.53557247
135.5913 ## 2.2801018 ## 0.5320889
